DATE,TIME
2013-03-13,4:21:14
2013-03-22,5:12:35
2013-03-27,0:44:44
2013-03-27,17:50:29
2013-03-27,18:17:00
2013-04-07,19:14:03
2013-04-07,20:45:18
2013-04-15,13:21:18
2013-04-17,2:57:58
2013-04-20,16:55:15
2013-04-20,16:55:31
2013-04-23,18:58:12
2013-04-25,18:59:44
2013-04-27,2:52:18
2013-04-29,17:32:09
2013-04-30,18:10:20
2013-05-01,1:56:02
2013-05-03,5:57:53
2013-05-03,6:42:24
2013-05-06,22:40:08
2013-05-07,9:06:09
2013-05-15,16:20:05
2013-05-15,20:00:06
2013-05-16,3:24:27
2013-05-16,10:04:58
2013-05-17,3:07:52
2013-05-17,4:38:14
2013-05-17,6:39:51
2013-05-18,9:41:02
2013-05-20,0:38:34
2013-05-21,4:32:32
2013-05-23,18:54:05
2013-05-23,21:23:15
2013-05-26,1:58:31
2013-05-29,14:38:03
2013-05-30,3:19:02
2013-05-31,13:24:52
2013-06-01,15:06:01
2013-06-03,12:43:35
2013-06-03,19:04:10
2013-06-04,19:46:41
2013-06-04,21:24:29
2013-06-07,0:48:46
2013-06-10,4:50:13
2013-06-15,14:22:24
2013-06-19,19:11:51
2013-06-24,12:17:50
2013-06-24,22:09:33
2013-06-26,1:48:14
2013-06-28,17:45:48
2013-06-29,20:25:07
2013-07-12,2:06:17
2013-07-12,2:33:11
2013-07-18,12:49:41
2013-07-22,1:59:48
2013-07-24,16:46:03
2013-07-26,14:00:47
2013-07-27,8:41:55
2013-07-28,17:31:44
2013-08-04,5:30:55
2013-08-10,14:09:18
2013-08-10,14:10:09
2013-08-10,16:33:00
2013-08-12,7:32:35
2013-08-16,3:53:37
2013-08-16,14:40:26
2013-08-16,16:45:13
2013-08-20,7:11:54
2013-08-22,13:29:23
2013-08-23,2:08:25
2013-08-24,1:16:31
2013-08-24,23:25:52
2013-08-25,18:50:29
2013-08-25,18:59:19
2013-08-27,13:56:58
2013-09-03,21:26:29
2013-09-04,4:04:54
2013-09-05,21:06:05
2013-09-10,22:49:59
2013-09-14,10:25:36
2013-09-18,12:53:36
2013-09-19,11:43:56
2013-09-19,12:06:34
2013-09-20,6:10:43
2013-09-20,18:05:46
2013-09-22,13:10:11
2013-09-24,18:09:55
2013-09-29,0:36:17
2013-09-29,8:41:32
2013-09-30,4:23:28
2013-10-02,5:28:08
2013-10-02,6:12:43
2013-10-04,8:55:24
2013-10-06,2:06:22
2013-10-06,16:41:51
2013-10-09,8:18:03
2013-10-10,1:34:23
2013-10-14,12:38:24
2013-10-14,12:39:20
