DATE
7/25/1920
10/29/1920
11/26/1921
3/2/1923
3/11/1923
5/10/1924
5/24/1926
9/5/1927
1/23/1928
3/26/1928
5/13/1928
8/4/1928
11/2/1928
1/6/1929
6/17/1929
8/2/1929
11/2/1929
3/17/1930
8/20/1930
9/11/1930
12/18/1930
8/20/1931
1/21/1932
1/8/1933
5/10/1933
12/24/1933
12/25/1933
8/14/1936
2/9/1937
5/29/1937
1/28/1938
5/9/1938
6/5/1938
7/16/1938
7/24/1939
8/17/1939
10/13/1939
6/20/1940
7/12/1940
7/24/1940
7/13/1941
9/21/1941
2/20/1943
4/13/1943
3/27/1944
6/10/1944
6/23/1944
8/20/1944
8/26/1944
12/4/1944
10/29/1946
11/13/1946
1/7/1947
7/6/1947
9/16/1947
11/2/1947
4/7/1948
5/26/1949
8/28/1950
9/15/1950
9/23/1950
1/21/1951
8/3/1951
8/31/1951
11/5/1951
12/4/1951
3/27/1952
9/16/1952
9/23/1952
9/24/1952
9/26/1952
3/11/1953
3/23/1953
3/25/1953
4/27/1953
6/27/1953
7/26/1953
10/5/1953
12/24/1953
7/21/1954
8/3/1954
7/26/1955
10/13/1955
3/30/1956
3/11/1957
7/12/1958
7/21/1958
10/7/1958
5/25/1960
1/25/1961
4/23/1961
5/8/1961
6/18/1961
8/18/1961
6/29/1962
12/31/1962
3/17/1963
3/18/1963
5/5/1963
5/16/1963
5/21/1963
9/5/1963
9/28/1963
12/10/1963
3/3/1964
12/13/1964
9/28/1965
10/24/1965
1/13/1966
4/26/1966
8/12/1966
8/14/1966
7/8/1967
8/31/1967
12/4/1967
4/21/1968
7/29/1968
1/7/1969
1/28/1969
3/21/1969
8/26/1969
3/2/1970
5/5/1970
8/12/1971
9/6/1971
9/14/1971
10/26/1971
10/29/1971
12/27/1971
6/9/1972
10/2/1972
10/9/1972
1/27/1973
4/5/1973
2/11/1974
6/17/1974
7/28/1974
8/9/1974
10/10/1974
10/17/1974
10/22/1974
6/17/1975
11/29/1975
8/3/1976
8/12/1976
8/31/1976
9/15/1976
11/25/1976
1/10/1977
4/5/1977
4/27/1977
8/2/1977
8/7/1977
1/13/1978
7/29/1978
9/2/1978
9/19/1978
2/20/1979
3/8/1979
4/13/1979
7/5/1979
7/18/1979
9/6/1979
5/18/1980
8/17/1980
12/25/1980
3/17/1981
3/29/1981
4/27/1981
5/14/1981
6/30/1981
9/5/1981
10/20/1981
3/29/1982
4/4/1982
5/17/1982
5/27/1982
3/8/1983
7/23/1983
8/17/1983
10/3/1983
8/15/1984
9/9/1984
9/14/1984
10/16/1984
5/10/1985
11/13/1985
12/19/1985
5/8/1986
7/24/1986
8/21/1986
10/15/1986
11/15/1986
1/25/1987
4/17/1987
5/9/1988
7/6/1988
7/30/1988
12/25/1988
2/12/1989
8/26/1989
2/2/1990
2/10/1990
3/26/1990
4/18/1990
5/29/1990
6/24/1990
7/19/1990
10/19/1990
11/21/1990
11/25/1990
6/3/1991
6/15/1991
7/3/1991
8/8/1991
10/24/1991
12/14/1991
1/21/1992
3/18/1992
4/10/1992
5/11/1992
7/5/1992
7/12/1992
9/17/1992
1/14/1993
1/21/1993
2/2/1993
3/12/1993
4/19/1993
6/13/1993
6/23/1993
6/26/1993
10/4/1993
1/15/1994
2/3/1994
5/29/1994
6/6/1994
9/19/1994
11/3/1994
11/22/1994
2/4/1995
2/11/1995
4/2/1995
4/7/1995
5/15/1995
9/6/1995
1/2/1996
4/30/1996
8/10/1996
9/27/1996
9/30/1996
12/3/1996
1/14/1997
4/17/1997
6/25/1997
7/12/1997
9/2/1997
9/15/1997
11/23/1997
12/26/1997
4/28/1998
10/30/1998
1/20/1999
5/21/1999
8/15/1999
10/5/1999
10/16/1999
6/27/2000
7/27/2000
8/23/2000
11/3/2000
5/14/2001
7/26/2001
8/5/2001
10/20/2001
1/3/2002
1/17/2002
8/28/2002
11/3/2002
12/30/2002
7/12/2003
1/29/2004
6/8/2004
10/24/2004
1/27/2005
11/24/2005
3/17/2006
5/20/2006
6/7/2006
6/14/2006
7/18/2006
8/17/2006
11/30/2006
4/18/2007
5/19/2007
7/7/2007
9/30/2007
5/2/2008
8/8/2008
8/22/2008
11/20/2008
3/23/2009
11/30/2009
3/31/2010
5/27/2010
5/29/2010
8/6/2010
8/30/2010
10/26/2010
12/28/2010
1/3/2011
1/28/2011
2/23/2011
3/18/2011
6/4/2011
6/22/2011
7/9/2011
7/17/2011
12/27/2011
2/10/2012
3/2/2012
12/12/2012
2/12/2013
5/7/2013
8/10/2013
9/4/2013
9/15/2013
12/13/2013
2/13/2014
9/27/2014
11/10/2014
11/23/2014
12/18/2014
2/20/2015
4/22/2015
5/7/2015
7/31/2015
10/16/2015
5/9/2016
5/21/2016
6/9/2016
9/27/2016
10/8/2016
3/15/2017
4/13/2017
6/6/2017
9/12/2017
9/23/2017
12/18/2017
12/27/2017
1/5/2018
1/13/2018
1/23/2018
2/9/2018
3/21/2018
3/30/2018
4/28/2018
6/3/2018
7/16/2018
8/25/2018
12/15/2018
12/22/2018
12/26/2018
1/7/2019
5/7/2019
6/26/2019
6/28/2019
7/3/2019
8/28/2019
12/9/2019
1/12/2020
5/29/2020
3/5/2021
4/9/2021
5/22/2021
9/19/2021
12/4/2021
